,gene_name,accuracy
0,CCND1,0.9891435464414958
1,CCND2,0.996984318455971
2,CCND3,0.9957780458383595
3,CCNE1,0.9813027744270205
4,CDK4,0.996984318455971
5,CDK6,0.9945717732207479
6,E2F1,0.9903498190591074
7,E2F3,0.9945717732207479
8,YAP1,0.9909529553679132
9,MYC,0.9891435464414958
10,MYCN,0.9897466827503015
11,ARRDC1,0.9897466827503015
12,KDM5A,0.97708082026538
13,NFE2L2,0.9680337756332931
14,AKT1,0.9903498190591074
15,AKT2,0.9975874547647768
16,PIK3CA,0.8968636911942099
17,PIK3CB,0.9909529553679132
18,PIK3R2,0.9957780458383595
19,RHEB,0.996984318455971
20,RICTOR,0.9752714113389626
21,RPTOR,0.9806996381182147
22,EGFR,0.9686369119420989
23,ERBB2,0.9728588661037394
24,ERBB3,0.9680337756332931
25,PDGFRA,0.9764776839565742
26,MET,0.9788902291917974
27,FGFR1,0.9891435464414958
28,FGFR2,0.9650180940892642
29,FGFR3,0.9813027744270205
30,FGFR4,0.98854041013269
31,KIT,0.9746682750301568
32,IGF1R,0.9813027744270205
33,KRAS,0.9294330518697226
34,HRAS,0.985524728588661
35,BRAF,0.9306393244873341
36,RAF1,0.9921592279855247
37,RAC1,0.982509047044632
38,MAPK1,0.9957780458383595
39,JAK2,0.9831121833534379
40,MDM2,0.9897466827503015
41,MDM4,0.9945717732207479
42,CDKN1A,0.9957780458383595
43,CDKN1B,0.9933655006031363
44,CDKN2A,0.9680337756332931
45,CDKN2B,0.9987937273823885
46,CDKN2C,0.9981905910735827
47,RB1,0.9650180940892642
48,SAV1,0.9951749095295537
49,LATS1,0.9831121833534379
50,LATS2,0.9782870928829915
51,PTPN14,0.9788902291917974
52,NF2,0.991556091676719
53,FAT1,0.9493365500603136
54,MGA,0.9668275030156815
55,CNTN6,0.974065138721351
56,CREBBP,0.9607961399276237
57,EP300,0.962605548854041
58,HES2,1.0
59,HES3,0.9963811821471653
60,HES4,0.9987937273823885
61,HES5,0.9939686369119421
62,HEY1,0.9957780458383595
63,KAT2B,0.9873341375150784
64,NOTCH1,0.971049457177322
65,NOTCH2,0.9782870928829915
66,NOTCH3,0.97708082026538
67,NOTCH4,0.9692400482509047
68,NOV,0.9927623642943305
69,PSEN2,0.9909529553679132
70,FBXW7,0.9662243667068757
71,NCOR1,0.9644149577804584
72,NCOR2,0.9638118214716526
73,KEAP1,0.9662243667068757
74,CUL3,0.9867310012062727
75,INPP4B,0.9800965018094089
76,PIK3R1,0.9837153196622437
77,PTEN,0.9420989143546441
78,STK11,0.9819059107358263
79,TSC1,0.9752714113389626
80,TSC2,0.9819059107358263
81,TGFBR1,0.9819059107358263
82,TGFBR2,0.9849215922798552
83,ACVR2A,0.9849215922798552
84,SMAD2,0.9867310012062727
85,SMAD3,0.9843184559710495
86,SMAD4,0.9782870928829915
87,NF1,0.9620024125452352
88,RASA1,0.9813027744270205
89,CBL,0.985524728588661
90,ERRFI1,0.9927623642943305
91,TP53,0.7539203860072377
92,ATM,0.9632086851628469
93,SFRP1,0.9963811821471653
94,ZNRF3,0.985524728588661
95,AMER1,0.9758745476477684
96,APC,0.9420989143546441
97,AXIN1,0.9867310012062727
98,DKK1,0.9951749095295537
99,DKK4,0.9927623642943305
100,RNF43,0.9831121833534379
101,TCF7L2,0.9806996381182147
102,ABL1,0.982509047044632
103,ACVR1B,0.985524728588661
104,AKT3,0.9897466827503015
105,ALK,0.9728588661037394
106,ARAF,0.9927623642943305
107,AXIN2,0.985524728588661
108,CDK2,0.996984318455971
109,CHEK2,0.991556091676719
110,CRB1,0.9638118214716526
111,CRB2,0.9879372738238842
112,CSNK1D,0.9945717732207479
113,CSNK1E,0.9831121833534379
114,CTNNB1,0.9601930036188179
115,CUL1,0.9800965018094089
116,DCHS1,0.9698431845597105
117,DCHS2,0.9589867310012062
118,DKK2,0.9921592279855247
119,DKK3,0.9939686369119421
120,DNER,0.9746682750301568
121,ERBB4,0.9613992762364294
122,ERF,0.982509047044632
123,FAT2,0.9547647768395657
124,FAT3,0.9433051869722557
125,FAT4,0.9276236429433052
126,FLT3,0.9776839565741857
127,GRB2,0.9963811821471653
128,GSK3B,0.9951749095295537
129,HDAC1,0.985524728588661
130,HES1,0.9963811821471653
131,HEY2,0.9951749095295537
132,HEYL,0.9957780458383595
133,JAG2,0.9879372738238842
134,MAML3,0.9788902291917974
135,MAP2K1,0.9819059107358263
136,MAP2K2,0.9891435464414958
137,MAX,0.98854041013269
138,MLST8,0.996984318455971
139,MLX,0.9939686369119421
140,MNT,0.9939686369119421
141,MOB1A,1.0
142,MOB1B,0.991556091676719
143,MTOR,0.9680337756332931
144,MXI1,0.9945717732207479
145,NPRL2,0.9951749095295537
146,NPRL3,0.9939686369119421
147,NRAS,0.9644149577804584
148,NTRK1,0.9813027744270205
149,NTRK3,0.9716525934861279
150,PIK3R3,0.9903498190591074
151,PLXNB1,0.97708082026538
152,PPP2R1A,0.9813027744270205
153,PTPN11,0.9806996381182147
154,RET,0.974065138721351
155,RIT1,0.9951749095295537
156,ROS1,0.9668275030156815
157,RPS6KA3,0.9867310012062727
158,RPS6KB1,0.991556091676719
159,SFRP2,0.9945717732207479
160,SFRP4,0.9879372738238842
161,SFRP5,0.9951749095295537
162,SOS1,0.9782870928829915
163,SOST,0.9975874547647768
164,SPEN,0.9680337756332931
165,SPRED1,0.9909529553679132
166,STK3,0.9909529553679132
167,STK4,0.98854041013269
168,TAOK1,0.985524728588661
169,TAOK2,0.9867310012062727
170,TAOK3,0.98854041013269
171,TCF7,0.991556091676719
172,TCF7L1,0.9939686369119421
173,TEAD2,0.9933655006031363
174,THBS2,0.9728588661037394
175,TLE1,0.9837153196622437
176,TLE2,0.9831121833534379
177,TLE3,0.9909529553679132
178,TLE4,0.9764776839565742
179,WIF1,0.9861278648974668
180,WWC1,0.974065138721351
181,CRB3,0.9933655006031363
182,LRP5,0.9819059107358263
183,NTRK2,0.9806996381182147
184,PDGFRB,0.9758745476477684
185,TEAD3,0.9945717732207479
186,WWTR1,0.9909529553679132
